DIN,fb,v,v1,v1*a0,v1*b1,v2,v2*a1,v2*b2,fb,ff,DOUT
0,0,0,0,0,0,0,0,0,0,0,0,
632,0,632,0,0,0,0,0,0,0,0,130,
0,233,233,632,233,261,0,0,0,233,261,309,
1656,-38,1618,233,86,96,632,-124,130,-38,226,560,
0,552,552,1618,598,668,233,-46,48,552,716,830,
2047,-113,1934,552,204,228,1618,-317,334,-113,562,961,
-1,605,604,1934,714,798,552,-109,114,605,912,1036,
1656,-156,1500,604,223,249,1934,-379,399,-156,648,957,
-1,435,434,1500,554,619,604,-119,124,435,743,832,
632,-134,498,434,160,179,1500,-294,309,-134,488,590,
-1,99,98,498,184,205,434,-85,89,99,294,314,
-633,-62,-695,98,36,40,498,-98,102,-62,142,-2,
-1,-277,-278,-695,-257,-288,98,-20,20,-277,-268,-326,
-1657,33,-1624,-278,-103,-115,-695,136,-144,33,-259,-595,
-1,-547,-548,-1624,-601,-671,-278,54,-58,-547,-729,-843,
-2048,114,-1934,-548,-203,-227,-1624,317,-336,114,-563,-963,
0,-608,-608,-1934,-715,-799,-548,107,-114,-608,-913,-1039,
-1657,153,-1504,-608,-225,-252,-1934,378,-400,153,-652,-963,
0,-437,-437,-1504,-556,-622,-608,119,-126,-437,-748,-839,
-633,132,-501,-437,-162,-181,-1504,294,-311,132,-492,-596,
0,-101,-101,-501,-186,-207,-437,85,-91,-101,-298,-319,
632,60,692,-101,-38,-42,-501,98,-104,60,-146,-4,
0,274,274,692,255,285,-101,19,-21,274,264,320,
1656,-35,1621,274,101,113,692,-136,142,-35,255,589,
0,545,545,1621,599,669,274,-54,56,545,725,837,
2047,-117,1930,545,201,225,1621,-318,334,-117,559,957,
-1,606,605,1930,713,797,545,-107,112,606,909,1033,
1656,-155,1501,605,223,249,1930,-378,398,-155,647,957,
-1,435,434,1501,554,620,605,-119,124,435,744,833,
632,-134,498,434,160,179,1501,-294,310,-134,489,591,
-1,99,98,498,184,205,434,-85,89,99,294,314,
-633,-62,-695,98,36,40,498,-98,102,-62,142,-2,
-1,-277,-278,-695,-257,-288,98,-20,20,-277,-268,-326,
-1657,33,-1624,-278,-103,-115,-695,136,-144,33,-259,-595,
-1,-547,-548,-1624,-601,-671,-278,54,-58,-547,-729,-843,
-2048,114,-1934,-548,-203,-227,-1624,317,-336,114,-563,-963,
0,-608,-608,-1934,-715,-799,-548,107,-114,-608,-913,-1039,
-1657,153,-1504,-608,-225,-252,-1934,378,-400,153,-652,-963,
0,-437,-437,-1504,-556,-622,-608,119,-126,-437,-748,-839,
-633,132,-501,-437,-162,-181,-1504,294,-311,132,-492,-596,
0,-101,-101,-501,-186,-207,-437,85,-91,-101,-298,-319,
632,60,692,-101,-38,-42,-501,98,-104,60,-146,-4,
0,274,274,692,255,285,-101,19,-21,274,264,320,
1656,-35,1621,274,101,113,692,-136,142,-35,255,589,
0,545,545,1621,599,669,274,-54,56,545,725,837,
2047,-117,1930,545,201,225,1621,-318,334,-117,559,957,
-1,606,605,1930,713,797,545,-107,112,606,909,1033,
1656,-155,1501,605,223,249,1930,-378,398,-155,647,957,
